treatment_type,kd_target,target_organelle,target_role,control_type,measured_var,replicate,ctrl_value,trt_value,trt_ctrl_ratio,kd_efficiency,notes,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,kd_target,4,22797.513,891.749,0.0391160649848078,0.960883935015192,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_CM,5,19510.806,2526.196,0.129476762774434,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_lysate,5,NA,NA,NA,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,kd_target,5,15770.321,902.335,0.0572172880945163,0.942782711905484,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #2,sFlt1_CM,1,34939.395,38303.697,1.09628964668678,NA,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #2,sFlt1_lysate,1,NA,NA,NA,NA,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #2,kd_target,1,24720.028,2898.619,0.117257917345401,0.882742082654599,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #2,sFlt1_CM,2,22291.584,25907.241,1.16219829869425,NA,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #2,sFlt1_lysate,2,NA,NA,NA,NA,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #2,kd_target,2,33724.525,4991.933,0.148020854259623,0.851979145740377,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #1,sFlt1_CM,3,3810.033,20137.291,5.28533243675317,NA,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #1,sFlt1_lysate,3,33548.354,17049.856,0.508217362914437,NA,,,
siSTX4 s13597,STX4,Vesicle_PM,basal_pm_tSNARE,siNT #1,kd_target,3,23002.785,3544.761,0.154101383810699,0.845898616189301,,,
siSTX4 pool,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,sFlt1_CM,1,2648.154,30848.392,11.6490173909825,NA,,,
siSTX4 pool,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,sFlt1_lysate,1,22321.706,18576.158,0.83220153513356,NA,,,
siSTX4 pool,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,kd_target,1,49022.576,21091.149,0.430233388796215,0.569766611203785,,,
siSTX4 pool,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,sFlt1_CM,2,21233.836,38227.283,1.80030037907423,NA,,,
siSTX4 pool,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,sFlt1_lysate,2,28525.726,27605.676,0.967746657876473,NA,,,
siSTX4 pool,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,kd_target,2,31776.957,19551.472,0.615272003546469,0.384727996453531,,,
siSTX4 Thermo,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,sFlt1_CM,1,21233.836,6352.238,0.299156403016393,NA,,,
siSTX4 Thermo,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,sFlt1_lysate,1,28525.726,29801.534,1.04472482137703,NA,,,
siSTX4 Thermo,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,kd_target,1,31776.957,13560.693,0.426746116690783,0.573253883309217,,,
siSTX4 Thermo,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,sFlt1_CM,2,81423.044,79722.792,0.9791182948159,NA,,,
siSTX4 Thermo,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,sFlt1_lysate,2,1334.598,3068.054,2.29886003126035,NA,,,
siSTX4 Thermo,STX4,Vesicle_PM,basal_pm_tSNARE,siNT,kd_target,2,25480.413,3008.79,0.118082465931773,0.881917534068227,,,
siVAMP3 Thermo 57,VAMP3,Vesicle,vSNARE,siNT,sFlt1_CM,1,40671.869,24261.04,0.596506641974088,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_CM,1,40671.869,17985.108,0.442200185095993,NA,,,
siVAMP3 Dharm pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_CM,1,40671.869,33738.082,0.829518849994329,NA,,,
siVAMP3 Thermo 57,VAMP3,Vesicle,vSNARE,siNT,sFlt1_lysate,1,NA,NA,NA,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_lysate,1,NA,NA,NA,NA,,,
siVAMP3 Dharm pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_lysate,1,NA,NA,NA,NA,,,
siVAMP3 Thermo 57,VAMP3,Vesicle,vSNARE,siNT,kd_target,1,61568.253,45043.688,0.73160575142517,0.26839424857483,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,kd_target,1,61568.253,53658.96,0.871536179530707,0.128463820469293,,,
siVAMP3 Dharm pool,VAMP3,Vesicle,vSNARE,siNT,kd_target,1,61568.253,28908.94,0.469542963968784,0.530457036031216,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_CM,2,18667.936,233.556,0.0125110778181369,NA,,,
siVAMP3 Dharm pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_CM,2,18667.936,2427.761,0.13004978161485,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,kd_target,2,65671.91,27115.413,0.412892102574754,0.587107897425246,,,
siVAMP3 Dharm pool,VAMP3,Vesicle,vSNARE,siNT,kd_target,2,65671.91,18963.149,0.288755862285717,0.711244137714283,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_lysate,2,NA,NA,NA,NA,,,
siVAMP3 Dharm pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_lysate,2,NA,NA,NA,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_CM,3,21233.836,994.0165,0.0468128556705439,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_lysate,3,28525.726,29589.555,1.03729366958092,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,kd_target,3,50577.91,19335.614,0.382293653494184,0.617706346505816,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_CM,4,8786.53,824.092,0.093790381413368,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_lysate,4,NA,NA,NA,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,kd_target,4,40043.12,16412.593,0.409872981925484,0.590127018074516,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_CM,5,2648.154,367.87,0.138915637081529,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,sFlt1_lysate,5,21941.856,1220.012,0.0556020420515019,NA,,,
siVAMP3 SC pool,VAMP3,Vesicle,vSNARE,siNT,kd_target,5,48297.889,31511.626,0.652443132659483,0.347556867340517,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,sFlt1_CM,1,68474.312,45410.472,0.663175294116135,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,sFlt1_lysate,1,47785.517,13829.338,0.28940438166652,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,kd_target,1,26134.877,1106.749,0.0423475878612323,0.957652412138768,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,sFlt1_CM,2,6826.187,38555.153,5.64812434819029,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,sFlt1_lysate,2,27020.898,9075.966,0.335886912418677,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,kd_target,2,NA,NA,NA,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,sFlt1_CM,3,30261.593,42496.898,1.40431794188759,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,sFlt1_lysate,3,63024.558,39669.283,0.62942580255779,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,kd_target,3,26598.271,320.627,0.0120544301545014,0.987945569845499,,,
siVAMP8 single,VAMP8,Vesicle,vSNARE,siNT,sFlt1_CM,1,13370.551,46371.111,3.4681525839885,NA,,,
siVAMP8 single,VAMP8,Vesicle,vSNARE,siNT,sFlt1_lysate,1,37363.132,27049.333,0.723957857708503,NA,,,
siVAMP8 single,VAMP8,Vesicle,vSNARE,siNT,kd_target,1,42286.082,587.192,0.0138861765438567,0.986113823456143,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,sFlt1_CM,4,13370.551,3533.075,0.264243036805289,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,sFlt1_lysate,4,37363.132,8432.43,0.225688520973028,NA,,,
siVAMP8 pool,VAMP8,Vesicle,vSNARE,siNT,kd_target,4,42286.082,657.778,0.0155554255416711,0.984444574458329,,,
siVAMP8 Thermo,VAMP8,Vesicle,vSNARE,siNT,sFlt1_CM,1,64380.253,93028.5,1.44498500184521,NA,,,
siVAMP8 Thermo,VAMP8,Vesicle,vSNARE,siNT,sFlt1_lysate,1,1334.598,13126.25,9.8353586623088,NA,,,
siVAMP8 Thermo,VAMP8,Vesicle,vSNARE,siNT,kd_target,1,34862.668,3497.569,0.100324192055525,0.899675807944475,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,sFlt1_CM,1,19982.019,62602.416,3.13293746743009,NA,,,
siSTX1a SC pool,STX1,Secretory_granule,tSNARE,siNT,sFlt1_CM,1,19982.019,17237.362,0.862643659782327,NA,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,sFlt1_CM,2,26764.505,41704.567,1.55820430828069,NA,,,
siSTX1a SC pool,STX1,Secretory_granule,tSNARE,siNT,sFlt1_CM,2,26764.505,53662.467,2.00498634291947,NA,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,sFlt1_CM,3,21233.836,20508.17,0.965825016261781,NA,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,sFlt1_lysate,1,NA,NA,NA,NA,,,
siSTX1a SC pool,STX1,Secretory_granule,tSNARE,siNT,sFlt1_lysate,1,NA,NA,NA,NA,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,sFlt1_lysate,2,43289.709,52491.68,1.21256717156496,NA,,,
siSTX1a SC pool,STX1,Secretory_granule,tSNARE,siNT,sFlt1_lysate,2,NA,NA,NA,NA,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,sFlt1_lysate,3,28525.726,24492.12,0.858597604141609,NA,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,kd_target,1,NA,NA,NA,NA,,,
siSTX1a SC pool,STX1,Secretory_granule,tSNARE,siNT,kd_target,1,NA,NA,NA,NA,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,kd_target,2,NA,NA,NA,NA,,,
siSTX1a SC pool,STX1,Secretory_granule,tSNARE,siNT,kd_target,2,NA,NA,NA,NA,,,
siRAB8a s8681,RAB8a,Endosome,recycling_endosome,siNT,kd_target,3,NA,NA,NA,NA,,,
siDNM1/2 pool,DNM1/DNM2,,vesicle_budding,siNT,sFlt1_CM,1,91843.81,90846.512,0.989141369461916,NA,,,
siDNM2,DNM2,,vesicle_budding,siNT,sFlt1_CM,1,60198.094,69208.68,1.14968224741468,NA,,,
siDNM1,DNM1,,vesicle_budding,siNT,sFlt1_CM,1,60198.094,49631.082,0.824462681492873,NA,,,
siDNM1/2 pool,DNM1/DNM2,,vesicle_budding,siNT,sFlt1_CM,2,60198.094,64942.357,1.07881085072228,NA,,,
siDNM2,DNM2,,vesicle_budding,siNT,sFlt1_CM,2,33976.324,102528.224,3.01763734063756,NA,,,
siDNM2,DNM2,,vesicle_budding,siNT,sFlt1_CM,3,31876.744,65222.647,2.04608874105837,NA,,,
siDNM1/2 pool,DNM1/DNM2,,vesicle_budding,siNT,sFlt1_lysate,1,49197.387,47473.584,0.964961492771964,NA,,,
siDNM2,DNM2,,vesicle_budding,siNT,sFlt1_lysate,1,67502.245,66884.789,0.990852807932536,NA,,,
siDNM1,DNM1,,vesicle_budding,siNT,sFlt1_lysate,1,67502.245,58211.505,0.862363985079311,NA,,,
siDNM1/2 pool,DNM1/DNM2,,vesicle_budding,siNT,sFlt1_lysate,2,67502.245,53063.383,0.786098047553826,NA,,,
siDNM2,DNM2,,vesicle_budding,siNT,sFlt1_lysate,2,13987.815,24278.09,1.7356599297317,NA,,,
siDNM2,DNM2,,vesicle_budding,siNT,sFlt1_lysate,3,30454.082,57892.42,1.90097406318142,NA,,,
siDNM1/2 pool,DNM1/DNM2,,vesicle_budding,siNT,kd_target,1,NA,NA,NA,NA,,,
siDNM2,DNM2,,vesicle_budding,siNT,kd_target,1,30277.3,7698.409,0.254263392046186,0.745736607953814,,,
siDNM1,DNM1,,vesicle_budding,siNT,kd_target,1,30277.3,21314.865,0.703988301466775,0.296011698533225,,,
siDNM1/2 pool,DNM1/DNM2,,vesicle_budding,siNT,kd_target,2,30277.3,8701.309,0.287387217486368,0.712612782513632,,,
siDNM2,DNM2,,vesicle_budding,siNT,kd_target,2,26219.777,2842.79,0.108421593364429,0.891578406635571,,,
siDNM2,DNM2,,vesicle_budding,siNT,kd_target,3,23897.685,5376.803,0.224992630039269,0.775007369960731,,,
